area,faculty_count,publication_count,faculty_per_pub,iclr_points
Algorithms & complexity,472.19,2140,0.22,2.73
Artificial intelligence,1798.66,12998,0.14,1.71
Comp. bio & bioinformatics,60.61,125,0.48,6.00
Computer architecture,327.08,1294,0.25,3.13
Computer graphics,97.08,338,0.29,3.55
Computer networks,197.05,649,0.30,3.76
Computer science education,280.56,1571,0.18,2.21
Computer security,712.69,2799,0.25,3.15
Computer vision,1115.81,16761,0.07,0.82
Cryptography,135.15,493,0.27,3.39
Databases,326.65,1076,0.30,3.76
Design automation,329.11,2470,0.13,1.65
Economics & computation,87.39,842,0.10,1.28
Embedded & real-time systems,126.22,490,0.26,3.19
High-performance computing,744.82,2418,0.31,3.81
Human-computer interaction,885.08,4286,0.21,2.56
Logic & verification,125.60,336,0.37,4.63
Machine learning,2038.46,25228,0.08,1.00
Measurement & perf. analysis,49.23,139,0.35,4.38
Mobile computing,322.69,1545,0.21,2.58
Natural language processing,781.06,9486,0.08,1.02
Operating systems,114.77,340,0.34,4.18
Programming languages,152.96,308,0.50,6.15
Robotics,773.16,11257,0.07,0.85
Software engineering,243.44,898,0.27,3.35
The Web & information retrieval,578.54,3779,0.15,1.89
Visualization,182.95,836,0.22,2.71
